Time [s],Value,Parity Error,Framing Error
36.385604000000001,1,,
36.386650000000003,2,,
36.387687000000000,H,,
36.388731999999997,L,,
36.389769999999999,0,,
37.066620999999998,\x01,,
37.067664000000001,P,,
37.068703999999997,0,,
37.069747999999997,1,,
37.070787000000003,0,,
37.071832999999998,0,,
37.316611999999999,\x01,,
37.317653999999997,P,,
37.318694999999998,0,,
37.319743000000003,1,,
37.320779000000002,0,,
37.321820000000002,4,,
37.566395000000000,\x01,,
37.567436000000001,P,,
37.568477999999999,0,,
37.569519000000000,1,,
37.570562000000002,0,,
37.571603000000003,8,,
37.816496000000001,\x01,,
37.817534999999999,P,,
37.818573000000001,0,,
37.819614999999999,1,,
37.820656000000000,0,,
37.821699000000002,<,,
38.066585000000003,\x01,,
38.067627000000002,P,,
38.068668000000002,0,,
38.069710000000001,1,,
38.070751000000001,0,,
38.071793000000000,@,,
38.316476999999999,\x01,,
38.317512999999998,P,,
38.318558000000003,0,,
38.319605000000003,1,,
38.320638000000002,0,,
38.321680000000001,D,,
38.566358999999999,\x01,,
38.567399999999999,P,,
38.568441999999997,0,,
38.569485999999998,1,,
38.570525000000004,0,,
38.571570999999999,H,,
38.816454000000000,\x01,,
38.817501999999998,P,,
38.818536999999999,0,,
38.819583999999999,1,,
38.820619999999998,0,,
38.821666000000000,H,,
39.566533000000000,\x01,,
39.567573000000003,C,,
39.568618999999998,3,,
39.569665000000001,\x01,,
39.570701000000000,U,,
39.571747000000002,1,,
39.572780999999999,3,,
39.573827000000001,5,,
39.574863999999998,4,,
39.575918000000001,1,,
39.576946999999997,X,,
39.577995000000001,0,,
39.579031000000001,0,,
39.580072999999999,\x01,,
39.581113999999999,U,,
39.582363999999998,1,,
39.583413999999998,1,,
39.584451000000001,1,,
39.585490000000000,1,,
39.586534000000000,2,,
39.587572000000002,`,,
39.588617999999997,8,,
39.589655000000000,0,,
39.590696999999999,\x01,,
39.591742000000004,U,,
39.592781000000002,1,,
39.593822000000003,0,,
39.594862999999997,8,,
39.595910000000003,1,,
39.596947000000000,2,,
39.597990000000003,h,,
39.599040000000002,8,,
39.600078000000003,0,,
39.601118999999997,\x01,,
39.602367999999998,U,,
39.603405000000002,1,,
39.604450000000000,0,,
39.605488000000001,2,,
39.606529999999999,1,,
39.607581000000003,2,,
39.608615000000000,p,,
39.609653999999999,8,,
39.610700000000001,0,,
39.611738000000003,\x01,,
39.612779000000003,U,,
39.613821000000002,1,,
39.614863000000000,1,,
39.615907000000000,1,,
39.616945999999999,1,,
39.617986999999999,2,,
39.619028999999998,D,,
39.620075999999997,8,,
39.621111999999997,0,,
39.622363000000000,\x01,,
39.623404000000001,U,,
39.624447000000004,1,,
39.625487000000000,0,,
39.626533000000002,2,,
39.627569999999999,1,,
39.628613000000001,2,,
39.629654000000002,L,,
39.630695000000003,8,,
39.631737000000001,0,,
39.632778999999999,\x01,,
39.633823999999997,E,,
39.634861999999998,5,,
39.635908000000001,\x01,,
39.636944999999997,U,,
39.637987000000003,0,,
39.639028000000003,>,,
39.640073000000001,0,,
39.641112000000000,6,,
39.642361999999999,3,,
39.643402999999999,0,,
39.644449000000002,0,,
39.645488999999998,0,,
39.878500000000003,\x01,,
39.879541000000003,U,,
39.880581999999997,2,,
39.881624000000002,2,,
39.882665000000003,0,,
39.883707000000001,7,,
39.884748999999999,2,,
39.885795000000002,@,,
39.886842000000001,8,,
