Time [s], Analyzer Name, Decoded Protocol Result
2.453882540000000,SPI,MOSI: 0x1AD0000;  MISO: 0x3FEFFFF
2.454520920000000,SPI,MOSI: 0x1AE0000;  MISO: 0x3FEFFFF
2.455159280000000,SPI,MOSI: 0x1AF0000;  MISO: 0x3FEFFFF
2.455820640000000,SPI,MOSI: 0x1B00000;  MISO: 0x3FEFFFF
2.456457020000000,SPI,MOSI: 0x1B10000;  MISO: 0x3FEFFFF
2.457094380000000,SPI,MOSI: 0x1B20000;  MISO: 0x3FEFFFF
2.457731760000000,SPI,MOSI: 0x1B30000;  MISO: 0x3FEFFFF
2.458392100000000,SPI,MOSI: 0x1B40000;  MISO: 0x3FEFFFF
2.459029480000000,SPI,MOSI: 0x1B50000;  MISO: 0x3FEFFFF
2.459667860000000,SPI,MOSI: 0x1B60000;  MISO: 0x3FEFFFF
2.460306220000000,SPI,MOSI: 0x1B70000;  MISO: 0x3FEFFFF
2.460967580000000,SPI,MOSI: 0x1B80000;  MISO: 0x3FEFFFF
2.461604940000000,SPI,MOSI: 0x1B90000;  MISO: 0x3FEFFFF
2.462243320000000,SPI,MOSI: 0x1BA0000;  MISO: 0x3FEFFFF
2.462881700000000,SPI,MOSI: 0x1BB0000;  MISO: 0x3FEFFFF
2.463543040000000,SPI,MOSI: 0x1BC0000;  MISO: 0x3FEE2FF
2.464185400000000,SPI,MOSI: 0x1BD0000;  MISO: 0x3FEFFFF
2.464824780000000,SPI,MOSI: 0x1BE0000;  MISO: 0x3FEFFFF
2.465464160000000,SPI,MOSI: 0x1BF0000;  MISO: 0x3FEFFFF
2.471429280000000,SPI,MOSI: 0x1800000;  MISO: 0x3FEFFFF
2.475435340000000,SPI,MOSI: 0x1810000;  MISO: 0x3FEFFFF
2.479450400000000,SPI,MOSI: 0x1820000;  MISO: 0x3FEFFFF
2.483462460000000,SPI,MOSI: 0x1830000;  MISO: 0x3FEFFFF
2.491489560000000,SPI,MOSI: 0x1840000;  MISO: 0x3FEFFFF
2.495495620000000,SPI,MOSI: 0x1850000;  MISO: 0x3FEFFFF
